result,correction
-1,"หลอก,เจ้า,เต็มมือ,ขายไม่ออก,ขัง,หมื่น,ปี"
-1,ความปรารถนาดี
-1,"แทง,run,trend,เงิน,ไม่พอ,เล่น,tfex,แทง,dw,โดน,tine,decay,กิน,เฮ้อ"
1,"Options,พอได้,ไหม"
1,"Time,decay"
1,"แนะนำ,ออฟ,ชั่น,เสียง"
1,"เล่น,อธิบาย,คร่าวๆ,ไหม"
1,"Binary,option,เล่น,ชั่วโมง"
0,"หา,ค่าย,time,decay,ดิ,ผม,เล่น,ค่าย,time,decay,อัตรา,ทด,เดี๋ยวนี้,ไม่แน่ใจ,ค่าย,ทางเลือก,ดีกว่า,ค่าย,นี้,ป่าว,เทรด,ฟิวเจอร์,ไม่ได้,เล่น,dw"
1,"เหมือนกัน,ผม,เจอ"
1,หุ้น
1,GOOD
1,"รวย,นี้,ไม่มี,อีกแล้ว"
1,MALEE
1,"หนู,MALEE,ชอบ,กิน,ZEN"
-1,"หึ,หึหึ,5555555555555555555555555555555555555555555555555555555555,กร๊าาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาากกกกกกกกกกกกกกกกกกกกกกกกกกกกกๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,เง่า,หรั่ง,ทำได้,ยุง,ตา,หลา,ลาก,ล้า,มะ,ก๊ะ,ยืน,ขาย,ลา,ร้อน,ตี้,ราบ,ดอย,ดอย,รอ,เง่า,รอบ,ไป๊,ปล,มะ,วาน,อี,กามา,ลาก,กา,บินหนี,เล่,อะ,ตี้,ซำ,บาย,จัย,เฟ้ย,มะ,เงิน,ป๋ม,มะ,เดือดร้อน,ก้อ,เต้า,นั้ล,ซำ,บาย"
-1,"ตรู,ผิดทาง,นิ,ชื่อ,เซียน,นำหน้า,ขี้,นำหน้า,ไอ้,ขี้,5555555"
1,"เต่า,แง,ถั่วงอก,บี่เจ็ง,ผงชูรส"
1,"ก๊ะเด๋วขอ,จา,มู้อัล,ลัย"
1,"เฮีย,ู้,ไหม,ฮะ"
-1,"กา,กิน,บินหนี,บาป,ตี,โทษ,บ่,เป็นคุณ"
1,"มีเหตุผล,สิ,เค้า,ออกมา,อ่ะ"
1,"เจ้า,ตอนนี้,ลด,ปอด,เงียบเชียบ,เล่,อะ,BigBoss,กา,ซิบ,งั้ลลล"
1,"เม่า,ไม่มี,หุ้น,ขาย,รอ,เจ้า,ใจดี,หุ้น,แจก"
1,"อีกา,บินวน,กลับมา,จา,มู้,โควต้า,เล่,อะ,ข้อความ,กรกฎาคม,เวลา"
1,"เด้ง,จี้"
-1,"งาน,นี้,ขาย,ไต,ถัว"
1,บวก
-1,อีกา
1,"ด้าย,เคลม,ไว"
1,"ล้ำลึก,แม่,หญิง,ฆ้อง,ปี๊บ"
-1,"ผม,เตื่อน,เฮีย,เค้า,อย่า,รีบ,ออกมา,เจ้า,แกล้ง,กวนีน,อะ"
1,"เซียน,เหลา,เทรด,เฟค,EQ,ทาย,โดน,คน,ด่า,โกรธ,ยอด"
1,"พลฯ,ลุง,เซียน"
-1,"เฮีย,นั่ง,ยัน,แถม,ตะแบง,ตะเอง,ถูกตา,หลอด,ตรงข้าม,โง่,วๆๆๆ,ทู,กค"
1,หมาย
1,"เฮีย,สุดยอด,เสมอ,เหรอะ,เด้ง,เด้ง,ข้อความ,กรกฎาคม,เวลา,2"
-1,"ช่าง,อ่อน,สิน,ธร,เกิ้น,มู้,เม้น,ข้างหน้า,เด๋ง,ว่าง,จา,กิน,เกาเหลา,มะ,ลูกชิ้น,เฟ้ย,ซุป,กะ,เต่า,แง,อะ,บี่เจ็ง,เด๋ว,ใส่,หนัก,จา,ชอบ"
1,"ป้าย,สำนัก,หาย"
-1,"คัง,สาม,สาม,เลี่ยม,หยุด,ถึ,งัน,แน่,นวล,นั้ล"
1,"สวัสดี,อาจารย์,ด้าย"
1,"ยุง,ฮะ,ยุง,เฮีย,เหลา,ดม,ยาดม,ดอย,ลาวา,ร้อน,ฮะ"
-1,"ผ่อน,คอนโด,เจ้าของ,โดยตรง,วาง,เงินดาวน์,ทำสัญญา,เช่าซื้อ,ผ่อน,1,โอน,ชื่อ,มีโอกาส,โดน,หลอก,ไหม,์ณ,ผ่อน,เจ้าของ,โดยตรง,แนะนำ,ขอบคุณ"
-1,"อย่า,ทำ"
-1,เสี่ยง
1,เตือน
-1,"แบบนี้,โดน,หลอก"
-1,"โดน,หลอก"
1,"ถาม,กล้า,เชื่อใจ,คนอื่น,ขนาด,1,เจ้าของ,ห้อง,ตัวจริง,ตาย,ผ่อน,ทำ,ผ่อน,ธนาคาร,ไม่สบายใจ,หรอ,คำถาม,ถาม,นี้"
1,"ลอง,ต่อรอง,โอน,ผ่อน,สิ,เฮ"
-1,"เป็นผลดี,่าย"
-1,"โมเดล,แบบนี้,หลอก,กิน,เงินดาวน์,สำหรับ,คน,สถานะ,การเงิน,แย่,ยื่น,กู้,ธนาคาร,อนุมัติ,ผ่อน,ตรง ๆ,เจ้าของ,ไม่นาน,ผ่อน,ไม่ไหว,สัญญา,ยกเลิก,เจ้าของ,กิน,เงินดาวน์"
-1,"ผ่อน,ปี,ที่อยู่,ทำ,ขาย,ผ่อน,ที่นี่,จ่าย,ที่อยู่,ไหว,ผู้ขาย,เสียชีวิต,ลูกหลาน,เค้า,แย่ง,สมบัติ,ไม่มีใคร,โอน,บ้าน,ทำ"
-1,"เสี่ยง,คน,ทำ,ทำได้,ตอน,ผม,ประกาศ,ขาย,คอนโด,คน,เสนอ,แบบนี้,วางเงิน,ผ่อน,คน,ขาย,ผ่อน,โอน,ดู,เสี่ยง,เรื่อง,เสียโอกาส,เสียเวลา,ปวดหัว,คอย,ทวง,คอย,ไล่,บอกปัด"
-1,"สิ,เจ้าของ,ยื่น,กู้,ธนาคาร,เจ้าของ,เงินก้อน,ล้าน,นั่ง,รอ,เดือน,มื่น"
-1,"ผ่อน,ธนาคาร,ดีกว่า,อนาคต,การเงิน,มีปัญหา,รี,ไฟแนนซ์,ขาย,คนอื่น,สัญญา,เช่าซื้อ,ผิดนัด,ชำระเงิน,สอง,ติดๆ,ผิดสัญญา,ข้อ,สาระสำคัญ,เจ้าของ,ทรัพย์สิน,เช่าซื้อ,สิทธิ,บอกเลิก,สัญญา,เงิน,ชำระ,ราคา,ตกเป็น,สิทธิ,เจ้าของ,ทรัพย์สิน,เสมือน,ค่าเช่า,เช่าซื้อ,ไม่มี,สิทธิ,เรียกคืน,เจ้าของ,อ่าน,เนื้อหา,ต้นฉบับ,TerraBKKcom"
-1,"อย่า,ทำ,เด็ดขาด"
1,"ลองดู,บัญชี,สะดวก,ดี,ไหม,ฮะ,ลอง,ศึกษา,บัญชี,ME,save,ME,by,tmb,บัญชี,ดิจิตอล,ไม่มี,สมุด,คู่,ฝาก,ปลอดภัย,หายห่วง,ส่วนตัว,ปี,ไม่เคย,มีปัญหา,ออม,โอเค,บัญชี,นี้,ออมทรัพย์,พิเศษ,ดอกเบี้ย,ฝากประจำ,เงื่อนไข,ลอง,หา,ข้อมูล,ดู"
-1,"คำแนะนำ,เครียด,ไม่รู้,ปรึกษา,เล่า,นะคะ,พ่อ,แม่,เลิกกัน,กลางปี,ทำงาน,เสาหลัก,แม่,แฟน,มีครอบครัว,อยู่แล้ว,ปัญหา,แม่,ไว้ใจ,เชื่อใจ,คน,นี้,คอย,สร้าง,ปัญหา,ทิ้ง,ปัญหา,แม่,เงิน,จ่าย,ค่า,ห้อง,จ่าย,ค่าน้ำค่าไฟ,แทบจะ,ทันทีที่,นิติ,เคาะ,ประตู,ห้อง,บอ,ลักลอบ,ไฟ,ห้อง,คนอื่น,จ่าย,ค่า,ไฟ,ค่า,ส่วนกลาง,ค่า,สารพัด,จ่าย,เงิน,เหตุการณ์,แบบนี้,เกิดขึ้น,แม่,โยง,คำพูด,บั่นทอน,สุดท้าย,กลายเป็น,คดีความ,เหนื่อย,ลุง,ยังมี,จิตสำนึก,รับผิดชอบ,เรื่อง,หา,บ้าน,ไมา,อาทิตย์,ด้วยซ้ำ,เจ้าของบ้าน,ขอให้,สอบถาม,ไปมา,สรุป,ใจความ,เจ้าของบ้าน,ผู้เช่า,ซ้อน,มัดจำ,ล่วงหน้า,เดือน,ขอให้,วันที่,กค,ที่ผ่านมา,แล้,วจะ,คืนเงิน,ค่า,ประกัน,บาท,ลุง,บอ,ปัญหา,ดำเนินการ,เรื่อง,เงิน,ดู,เรื่อง,บ้าน,ตัวเรา,ไม่ได้,คาดหวัง,ทำ,เหมือนกัน,ออกจากงาน,กระทันหัน,เงินชดเชย,เช่าบ้าน,แทนที่จะ,ต้องหา,เงินก้อน,หา,บ้าน,หมดหนทาง,ทำได้,รอ,ปล่อย,หน้าที่,คุย,แม่,หา,แผน,สำรอง,แม่,ปัด,ทิ้ง,ปล่อย,คนเดียว,แม่,คำพูด,ซื้อ,บ้าน,ทำ,ระวัง,โรงแรม,ชั่วคราว,8,คอย,ถามไถ่,เรียบร้อย,ค่าใช้จ่าย,ตรงนี้,เอาแต่,ตอบ,ปัด,เดี๋ยว,เดี๋ยว,เรียบร้อย,ลุง,โ่กหก,ลุง,ทำ,มั่นใจ,คน,นี้,ทิ้ง,ปัญหา,กันเอา,ตอนนั้น,ทำ,ได้ดี,วาดรูป,จ่าย,ค่า,ห้อง,ตรงนี้,กะ,สุดท้าย,จบ,เดิม,ลุง,ทิ้ง,หาย,ปล่อย,แม่,เผชิญ,ปัญหา,ตามลำพัง,คำพูด,เงียบหาย,แม่,นั่ง,ร้องไห้,รู้เรื่อง,หัว,ระเบิด,ไม่รู้,ปัญหา,วันที่,ไม่มี,บ้าน,น้อง,สอง,คน,คน,นึง,อายุ,ขวบ,คน,นึง,อายุ,ขวบ,ไม่ได้,เรียนหนังสือ,ค่า,เทอม,โรงเรียน,เหมือนกัน,ความผิดพลาด,ซ้ำๆ,แม่,สนิทใจ,มันดี,พัง,ยับ,คนอื่น,ตอนนี้,ปัญหา,เรื่อง,บ้าน,บ้าน,แบบนี้,หยิบยืม,เงิน,กู้เงิน,ทำ,สินเชื่อ,ระบบ,กลัว,ระยะเวลา,อายุ,วันที่,ที่ผ่านมา,กลัว,เอกสาร,หันไป,กู้,ระบบ,ใจ,กลัว,อายุ,เสี่ยง,ดาวน์,รถ,แลกเงิน,ไม่มี,ที่อยู่,หมดหนทาง,นึกออก,ไม่มี,คน,ร้องไห้,ทุกครั้งที่,เดิน,ห้องน้ำ,เด็ก,เหนื่อย,เหนื่อย,ปัญหา,เหนื่อยใจ,คน,รอบข้าง,ตัวเอง,ปรึกษา,แม่,รับฟัง,นั่ง,ร้องไห้,สลับ,อยากได้,ความคิดเห็น,คำพูด,สัก,เจอ,ทางออก,ไม่มี,ความเสียใจ,มัวแต่,แบบนี้,น้องๆ,แนะนำ,ไหม,ทำ,อยากได้,เงินก้อน,เรื่อง,บ้าน,ที่พัก,เรื่อง,งาน,ตัวเอง,แบบนี้,ไม่ได้,เอกสาร,เงินเดือน,รายได้,1,เดือน,หนังสือ,ออกมา,เดือน,บัญชี,ย้อนหลัง,เดือน,รายรับ,ดือ,อายุ,ปี,กค,ทำ,ธุรกรรม,แท็ก,ขออภัย"
1,"แม่คุณ,ก้าว,ออกจาก,ผู้ชาย,คน,แก้ปัญหา,จบ,โดน,ดึง,ผลาญ,เงิน,แม่,คำพูด,เค้า,อันดับ,ก้าว,มาจาก,แม่,ตัดใจ,เด็ดขาด,ไม่งั้น,เดิม,ถมไป,เต็ม,เรื่อง,ที่พัก,ไปหา,ห้องเช่า,สาม,คน,พี่น้อง,แพง,หา,บ้าน,ไม่ต้อง,เกินตัว,อย่า,กู้,หนี้,ระบบ,เด็ดขาด,ไม่งั้น,ไม่พอ,ใช้หนี้,เอาเรื่อง,ปากท้อง,น้อง,กิน,เรียนหนังสือ,ที่พัก,ซุก,หัวนอน,เก็บเงิน,แม่คุณ,นึง,เค้า,ตัดใจ,ผู้ชาย,คน"
-1,"หรือว่า,หย่า,แม่,จขกท,หนีหาย,ไม่เคย,กลับมา,เหลียวแล,ลูก"
1,"หา,ห้องเช่า,ราคา,อันนี้,ทน,อย่า,แม่,เงินสด,ชำระ,อันนี้,ปัญหา,ต้นตอ,สะสม,เงิน,เงินเดือน,เงินเก็บ,สัก,ขยับขยาย,เอาใจช่วย,อย่า,โกรธ,แม่,ประสบการณ์,ชีวิต,ท่าน,จุดด้อย,อย่า,ท่าน,ทำ,จุด,ถือเงิน,จ่าย,เงิน"
-1,"แม่,แย่มาก,บอ,เลว,ด้วยซ้ำ"
1,"เอาเป็นว่า,หา,ห้องเช่า,มีราคา,เดือน,พัน,ค่าน้ำ,ไฟฟ้า,หา,งาน,เดือน,หมื่น,ทำงานหนัก,อดทน,เงินเดือน,หมื่น,หวัง,พอใช้ได้,ซื้อ,บ้าน,แม่คุณ,ตัดใจ,ผู้ชาย,ให้ได้,ไม่ต้อง,ให้ยืม,ผู้ชาย,คน,เด็ดขาด"
1,"ทำ,แนะนำ,สินเชื่อ,ส่วนบุคคล,ธนาคาร,ต่าง ๆ,ข้อดี,ผ่อน,จ่าย,งวด,หนี้,ข้อเสีย,อนุมัติ,ยู,เมะ,พลัส,ข้อดี,อนุมัติ,วงเงิน,เงินสด,หมุนเวียน,จ่าย,กด,ออกมา,ใช้ได้,บางส่วน,ข้อเสีย,มีวินัย,ทางการเงิน,จ่าย,รายเดือน,กด,ออกมา,เป็นหนี้"
-1,"แม่,โง่,อย่า,ธุรกรรม,ทางการเงิน,ยุ่งเกี่ยว,ปล่อย,แก้ปัญหา,ตัว,โง่,โดน,แมงดา,หลอก,อี,กรอบ,เรื่อง,ตอนนี้,ทำงาน,สะสม,เงิน,น้องๆ,เรียน,ปีการศึกษา,หน้า"
1,"เงิน,ใจแข็ง,อย่า,ไว้ใจ,กระ,แม่,ยอก,ที่ผ่านมา,เป็นไง,ต่อจากนี้"
1,"รายรับ,บาท,กู้,พอประมาณ,หา,ซื้อ,บ้าน,บ้าน,เอื้ออาทร,จขกท,ทำงาน,ขนาด,เกรง,ทำงาน,ไม่นาน,ยื่น,กู้,ลำบาก"
1,"ขอบคุณ,มีประโยชน์,ผม,ใช้ชีวิต,ชั่วโมง,เหมือนกัน,ไม่ได้,ดีขึ้น,ชีวิต,บทเรียน,หลายอย่าง"
1,"เสริม,ความคิดเห็น,คนอื่น,อย่า,แม่,แฟน,แม่,คน,ไหน ๆ,ถือเงิน,แทนคุณ,วาน,ฝาก,จ่าย,ค่า,อัตคัต,อิ่ม,ได้เงิน,เงิน,เงิน,ไม่ต้อง,รู้เรื่อง,เงินเดือน,ไม่ต้อง,บอ,เงินเก็บ,ถาม,ปากหนัก,ไม่มี"
-1,"เงิน,หมื่น,แสน,แม่,กดดัน,เปย์,ผู้ชาย,มีเงิน,หาเงิน,หาเงิน,คนอื่น,ผุ้,ชาย,หลอก,เงิน,แม่,หยด,สุดท้าย,แล้วก็,ทิ้ง,ระวัง,กู้,ชัด,พระคุณ,ไม่ได้,สุดท้าย,เงิน,ใช้หนี้,ตัดขาด,รู้,อยุ่,สู้,โลก,คนเดียว"
